City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,jawhar,2.7809,45.5005,78.69,81,100,9.55,SO,1683081808
110,huarmey,-10.0681,-78.1522,74.14,84,44,9.42,PE,1683081808
111,avarua,-21.2078,-159.775,75.25,78,75,12.66,CK,1683081808
112,port hardy,50.6996,-127.4199,60.98,51,0,11.5,CA,1683081735
113,balykshi,47.0667,51.8667,69.8,43,40,11.18,KZ,1683081809
114,toamasina,-18.1667,49.3833,73.4,94,75,4.61,MG,1683081809
115,phangnga,8.4509,98.5298,87.84,56,65,2.01,TH,1683081809
116,fort collins,40.5853,-105.0844,64.56,43,40,9.22,US,1683081625
117,emerald,-23.5333,148.1667,78.35,29,10,8.34,AU,1683081810
118,acapulco,16.8634,-99.8901,84.02,70,20,6.91,MX,1683081543
119,dzerzhinsk,56.2389,43.4631,39.02,100,14,4.47,RU,1683081810
120,isla mujeres,21.2311,-86.731,80.65,87,100,11.27,MX,1683081811
121,sioux lookout,50.1001,-91.917,37.47,41,40,2.3,CA,1683081811
122,saldanha,-33.0117,17.9442,50.05,83,0,11.05,ZA,1683081811
123,bredasdorp,-34.5322,20.0403,52.07,91,0,1.43,ZA,1683081811
124,vardo,70.3705,31.1107,30.18,86,100,16.11,NO,1683081812
125,chiusi,43.016,11.9475,57.9,90,96,11.36,IT,1683081812
126,meulaboh,4.1363,96.1285,82.74,73,97,2.53,ID,1683081813
127,glens falls,43.3095,-73.644,47.28,94,100,0.0,US,1683081814
128,tutoia,-2.7619,-42.2744,76.62,87,100,6.42,BR,1683081814
129,zhigansk,66.7697,123.3711,28.38,73,16,14.27,RU,1683081814
130,westport,41.1415,-73.3579,52.75,70,69,3.0,US,1683081529
131,nome,64.5011,-165.4064,37.17,93,100,8.05,US,1683081815
132,sikonge,-5.6333,32.7667,61.41,95,5,4.18,TZ,1683081815
133,tasiilaq,65.6145,-37.6368,26.76,80,15,5.55,GL,1683081816
134,ahuimanu,21.4447,-157.8378,76.71,83,100,6.91,US,1683081816
135,saint-gaudens,43.0833,0.6667,44.02,54,5,5.86,FR,1683081816
136,esperance,-33.8667,121.9,65.68,52,0,5.97,AU,1683081817
137,korla,41.7597,86.1469,51.12,38,99,11.27,CN,1683081817
138,souillac,-20.5167,57.5167,73.78,94,75,2.3,MU,1683081818
139,atar,20.5169,-13.0499,87.49,10,11,8.75,MR,1683081818
140,port-gentil,-0.7193,8.7815,79.52,82,100,10.87,GA,1683081818
141,port alfred,-33.5906,26.891,64.74,78,82,8.66,ZA,1683081818
142,edd,13.9297,41.6925,82.27,78,100,5.97,ER,1683081818
143,flin flon,54.7682,-101.865,49.93,93,71,5.91,CA,1683081819
